        Fp1         Fpz         Fp2         AF3         AF4         F11          F7          F5          F3          F1          Fz          F2          F4          F6          F8         F12        FT11         FC5         FC3         FC1         FCz         FC2         FC4         FC6        FT12          T7          C5          C3          C1          Cz          C2          C4          C6          T8         TP7         CP5         CP3         CP1         CPz         CP2         CP4         CP6         TP8          M1          M2          P7          P5          P3          P1          Pz          P2          P4          P6          P8         PO7         PO3         POz         PO4         PO8          O1          Oz          O2         Cb1         Cb2        AFp1        AFp2         AF7         AF5         AFz         AF6         AF8       AFF5h       AFF3h       AFF1h       AFF2h       AFF4h       AFF6h          F9         F10       FFT7h       FFC5h       FFC3h       FFC1h       FFC2h       FFC4h       FFC6h       FFT8h         FT9         FT7         FT8        FT10       FTT7h       FCC5h       FCC3h       FCC1h       FCC2h       FCC4h       FCC6h       FTT8h       TTP7h       CCP5h       CCP3h       CCP1h       CCP2h       CCP4h       CCP6h       TTP8h       TPP7h       CPP5h       CPP3h       CPP1h       CPP2h       CPP4h       CPP6h       TPP8h          P9         P10       PPO3h       PPO1h       PPO2h       PPO4h         PO9         PO5         PO1         PO2         PO6        PO10         Cbz        VEOG        HEOG     Trigger 
-9.6702e-02 -5.1777e-01 -4.6590e-01 -5.7158e-01  3.4459e-01  9.4491e-02  4.7446e-02 -4.0950e-01 -1.3711e-01 -3.1851e-02  6.3242e-03  1.2414e-01  6.9287e-01  9.4656e-01  1.0381e+00  5.4638e-01  8.8288e-02 -9.5250e-02 -1.4649e-01 -8.4563e-02  1.3791e-01 -6.8536e-03  2.3186e-01  7.7889e-01  5.0218e-01  1.6172e-01 -2.2888e-02 -1.2519e-01 -1.3308e-01 -4.8998e-01 -1.6265e-01  1.6751e-01  8.5711e-01  1.3634e+00  3.4995e-02  2.0575e-01  3.4823e-02 -1.9176e-01 -5.2940e-01 -2.1503e-01  1.5279e-01  7.3571e-01  6.1943e-01 -3.9062e-01 -2.7647e-01 -3.5208e-01  2.8210e-02 -3.2400e-02 -1.1950e-01 -5.3279e-01 -2.5249e-01 -9.9070e-02  2.1251e-01  4.4113e-01 -3.7022e-01 -1.1483e-01 -3.7613e-01 -3.3229e-01 -3.2048e-01 -2.0598e-01 -5.8965e-01 -7.2105e-01 -1.5896e-01 -7.1121e-01 -5.0837e-01 -4.2662e-01 -1.6866e-01 -5.9250e-01 -5.4675e-02  6.1885e-01  9.5120e-01 -5.3314e-01 -8.0862e-02 -3.5197e-02  2.2054e-02  3.1501e-01  2.8670e-01  1.8948e-01  6.1687e-01 -8.4246e-02 -5.7940e-01 -3.5142e-01 -1.9243e-02  6.3571e-02  4.1916e-01  8.4945e-01  9.9486e-01  2.0398e-01  3.0175e-01  2.4980e-01  6.7604e-01 -3.4953e-01 -1.8024e-01 -2.2588e-01 -1.7520e-01 -7.2473e-02 -7.5766e-02  3.3417e-01  1.0197e+00 -2.2067e-01  7.5043e-03 -1.6498e-01 -4.7125e-01 -4.7502e-01 -2.1335e-01  5.8536e-01  9.5283e-01 -4.7596e-02  9.9333e-02 -1.8720e-02 -1.8491e-01 -4.8493e-01 -2.5704e-01  4.6325e-01  6.3763e-01 -1.4999e-01 -3.7193e-01 -1.8203e-01 -4.1779e-01 -3.4188e-01 -7.5006e-02 -3.9301e-01 -1.6231e-01 -4.6401e-01 -4.0110e-01 -4.1397e-01 -3.2570e-01 -3.1349e-01 -1.1566e+00  6.7554e-01  3.4416e-04 
 3.2123e-02 -3.3293e-01 -1.8354e-01 -5.4399e-01  3.3748e-01  1.4042e-01 -8.6003e-02 -4.8167e-01 -1.9428e-01 -7.4589e-02 -3.0468e-02  1.1154e-01  6.3826e-01  7.4170e-01  1.1410e+00  4.9070e-01  1.2458e-01 -1.2757e-01 -1.9922e-01 -1.8566e-01  8.2923e-02 -7.8230e-02  1.1250e-01  3.9026e-01  3.6143e-01  7.2747e-02 -1.9521e-01 -2.1206e-01 -1.8735e-01 -5.1223e-01 -1.6323e-01  7.5425e-02  6.9308e-01  1.1054e+00  1.6784e-02  1.6597e-01 -2.9364e-02 -2.0015e-01 -4.4011e-01 -1.5109e-01  2.3536e-01  7.9038e-01  6.4498e-01 -3.6423e-01 -1.4596e-01 -4.0736e-01 -1.0719e-02 -6.8960e-02 -8.9142e-02 -3.9799e-01 -9.1980e-02  6.0365e-02  4.0605e-01  6.9766e-01 -4.2820e-01 -1.7000e-01 -1.8282e-01 -8.1520e-02  2.6062e-02 -1.6996e-01 -4.3872e-01 -4.0823e-01 -1.0026e-01 -3.3802e-01 -4.1970e-01 -3.0264e-01 -1.4003e-01 -5.9886e-01 -1.0821e-01  6.2282e-01  9.8045e-01 -5.4802e-01 -2.2476e-01 -7.9845e-02 -4.5874e-02  2.9226e-01  2.2271e-01  2.0174e-01  5.6618e-01 -2.5102e-01 -5.9331e-01 -4.3957e-01 -1.1847e-01 -4.5183e-03  3.2799e-01  6.4270e-01  8.4585e-01  2.3742e-01  1.5466e-01  1.2519e-01  6.2113e-01 -4.3131e-01 -2.7460e-01 -3.5502e-01 -2.8069e-01 -1.2918e-01 -1.5173e-01  8.2527e-02  7.7392e-01 -2.2368e-01 -7.1038e-02 -2.6094e-01 -4.5965e-01 -5.1217e-01 -2.3586e-01  5.2051e-01  9.4281e-01 -1.0971e-01  3.7681e-02 -4.7083e-02 -1.0640e-01 -3.6871e-01 -1.9971e-01  5.9435e-01  7.3000e-01 -1.9072e-01 -1.2174e-01 -2.1294e-01 -3.2644e-01 -2.0025e-01  9.2164e-02 -4.5984e-01 -2.2644e-01 -4.5004e-01 -2.7289e-01 -1.2409e-01 -5.4650e-03 -1.2437e-01 -1.0171e+00 -3.7694e-04  3.4416e-04 
 1.1464e-01 -1.8528e-01  4.8213e-02 -4.6501e-01  2.9354e-01  1.4996e-01 -2.2097e-01 -5.3576e-01 -2.5899e-01 -1.0424e-01 -7.8025e-02  9.4353e-02  5.6392e-01  5.3185e-01  1.2639e+00  4.2746e-01  1.1705e-01 -1.2640e-01 -2.0479e-01 -2.4486e-01  3.0437e-02 -1.3257e-01  1.1471e-02  4.0292e-02  2.1684e-01 -9.9849e-02 -2.9328e-01 -2.4182e-01 -2.2059e-01 -5.1594e-01 -1.5079e-01  1.6441e-02  5.4903e-01  7.2824e-01 -3.7191e-02  1.1582e-01 -7.4389e-02 -2.0009e-01 -3.5129e-01 -6.8908e-02  3.2341e-01  8.5792e-01  6.5788e-01 -3.7058e-01 -4.0708e-02 -4.8875e-01 -7.2560e-02 -9.8093e-02 -6.0320e-02 -2.7063e-01  6.2161e-02  2.3136e-01  5.9744e-01  9.4692e-01 -4.8653e-01 -2.4269e-01 -1.2117e-02  1.5711e-01  3.6865e-01 -1.5715e-01 -3.2797e-01 -1.1013e-01 -7.0249e-02 -1.7545e-02 -3.4192e-01 -1.7964e-01 -1.0568e-01 -5.4323e-01 -1.6227e-01  5.7077e-01  9.9302e-01 -5.0996e-01 -3.4108e-01 -1.3140e-01 -1.2235e-01  2.3717e-01  1.5032e-01  1.8801e-01  4.7850e-01 -4.0120e-01 -5.6147e-01 -4.7586e-01 -2.0226e-01 -7.4546e-02  2.2865e-01  4.3161e-01  6.8524e-01  2.3351e-01  4.2146e-02 -2.2080e-02  5.2443e-01 -4.6400e-01 -3.0763e-01 -4.2636e-01 -3.6121e-01 -1.6282e-01 -1.9966e-01 -1.2506e-01  5.2164e-01 -1.7878e-01 -1.2549e-01 -3.2723e-01 -4.4315e-01 -5.3971e-01 -2.2347e-01  4.7767e-01  9.2031e-01 -1.7977e-01 -1.6116e-02 -6.9190e-02 -2.5388e-02 -2.5081e-01 -1.2005e-01  7.2419e-01  8.2128e-01 -2.5882e-01  9.4255e-02 -2.4048e-01 -2.4186e-01 -6.3176e-02  2.5576e-01 -5.2503e-01 -3.0242e-01 -4.4673e-01 -1.3667e-01  1.6039e-01  3.0626e-01  1.1176e-02 -4.0733e-01 -7.2520e-01  3.4416e-04 
 1.7304e-01 -6.5949e-02  1.8203e-01 -3.1531e-01  2.0340e-01  1.0572e-01 -2.5911e-01 -4.8900e-01 -2.9718e-01 -1.1498e-01 -1.2927e-01  6.0734e-02  4.4755e-01  2.9865e-01  1.2890e+00  4.2183e-01  6.9107e-02 -5.2241e-02 -1.7256e-01 -2.6372e-01 -2.4007e-02 -1.8607e-01 -9.6156e-02 -3.6506e-01  1.1096e-01 -2.8884e-01 -3.1353e-01 -2.2027e-01 -2.3162e-01 -5.0339e-01 -1.4031e-01 -3.4131e-02  4.2331e-01  3.1548e-01 -1.0054e-01  6.3575e-02 -1.0515e-01 -1.9079e-01 -2.6792e-01  7.9304e-03  3.8369e-01  9.1225e-01  6.4546e-01 -4.1208e-01  3.6645e-02 -5.7401e-01 -1.3799e-01 -1.2165e-01 -3.1187e-02 -1.6538e-01  1.8935e-01  3.8823e-01  7.6448e-01  1.1488e+00 -5.2665e-01 -3.1547e-01  1.2350e-01  3.6932e-01  6.7277e-01 -1.6222e-01 -2.5864e-01  1.4935e-01 -5.6137e-02  2.2673e-01 -2.6666e-01 -6.7819e-02 -1.6840e-02 -4.1001e-01 -2.1346e-01  4.2961e-01  8.7593e-01 -3.8893e-01 -4.1764e-01 -1.8562e-01 -1.9634e-01  1.4148e-01  2.8313e-02  1.4908e-01  4.9178e-01 -4.3614e-01 -4.5913e-01 -4.4380e-01 -2.5446e-01 -1.4507e-01  1.1045e-01  1.6848e-01  4.5755e-01  1.9268e-01  3.2027e-03 -1.6400e-01  5.2286e-01 -4.0942e-01 -2.8794e-01 -4.3839e-01 -4.0771e-01 -1.7980e-01 -2.4664e-01 -3.2130e-01  2.3004e-01 -9.4347e-02 -1.5690e-01 -3.6203e-01 -4.2691e-01 -5.6122e-01 -1.9518e-01  4.3706e-01  8.8283e-01 -2.3982e-01 -4.9463e-02 -8.1049e-02  4.7693e-02 -1.4241e-01 -3.6852e-02  8.2187e-01  8.8310e-01 -3.5181e-01  2.5595e-01 -2.5388e-01 -1.6094e-01  5.9652e-02  4.0182e-01 -5.7317e-01 -3.7610e-01 -4.4565e-01 -8.3503e-03  4.1124e-01  5.8748e-01  8.8088e-02 -1.3661e+00 -9.9493e-02  3.4416e-04 
 1.7931e-01  1.1576e-03  1.9640e-01 -1.5602e-01  9.9959e-02  2.8412e-02 -1.9851e-01 -3.4640e-01 -3.1560e-01 -1.1426e-01 -1.7884e-01  2.8882e-02  3.3422e-01  1.4052e-01  1.1820e+00  3.8970e-01 -2.7422e-03  6.2638e-02 -1.0450e-01 -2.3260e-01 -6.7313e-02 -2.0701e-01 -1.5758e-01 -5.9172e-01  2.4688e-02 -4.4560e-01 -2.6208e-01 -1.5671e-01 -2.2047e-01 -4.7806e-01 -1.2599e-01 -5.1821e-02  3.6554e-01 -4.7798e-02 -1.6298e-01  8.6519e-03 -1.1911e-01 -1.7267e-01 -1.9434e-01  7.8131e-02  4.0939e-01  9.3684e-01  5.9739e-01 -4.5726e-01  6.7323e-02 -6.3484e-01 -2.0386e-01 -1.2724e-01 -9.3848e-03 -8.7456e-02  2.8156e-01  5.0408e-01  8.7346e-01  1.2543e+00 -5.4957e-01 -3.8390e-01  2.1029e-01  5.1633e-01  8.7826e-01 -1.8650e-01 -2.4454e-01  3.1026e-01 -6.5804e-02  3.0726e-01 -2.1994e-01  1.8852e-02  8.6271e-02 -2.4646e-01 -2.4848e-01  2.6478e-01  7.1835e-01 -2.4188e-01 -4.4553e-01 -2.2928e-01 -2.5476e-01  4.3667e-02 -9.6868e-02  1.0030e-01  4.3513e-01 -3.7276e-01 -3.0318e-01 -3.5624e-01 -2.6857e-01 -1.9470e-01  1.4285e-02 -1.5128e-02  2.3179e-01  1.2684e-01  5.0724e-04 -3.4745e-01  4.4995e-01 -2.9672e-01 -2.1938e-01 -3.9213e-01 -4.1360e-01 -1.6931e-01 -2.6777e-01 -4.2659e-01  1.3346e-02 -2.7810e-03 -1.6566e-01 -3.6172e-01 -4.0592e-01 -5.5599e-01 -1.4542e-01  4.1025e-01  8.4309e-01 -2.8737e-01 -6.5975e-02 -8.9040e-02  1.0685e-01 -4.7055e-02  4.4193e-02  8.6777e-01  9.0063e-01 -4.4449e-01  3.3223e-01 -2.5115e-01 -9.0213e-02  1.5356e-01  5.0946e-01 -5.9846e-01 -4.3568e-01 -4.4743e-01  1.0031e-01  5.8669e-01  7.7982e-01  7.5964e-02 -7.8284e-01  1.6992e+00  3.4416e-04 
 1.7116e-01  3.9904e-02  9.9316e-02  1.7039e-02 -1.2515e-02 -8.1545e-02  4.7672e-03 -7.9580e-02 -2.9314e-01 -9.7890e-02 -2.1805e-01 -9.9766e-03  2.0631e-01  2.6760e-02  8.5221e-01  3.8320e-01 -9.0260e-02  2.3019e-01 -1.9642e-02 -1.6766e-01 -9.9546e-02 -2.1715e-01 -2.0146e-01 -7.3935e-01 -2.1486e-02 -5.1607e-01 -1.5434e-01 -7.1812e-02 -1.8762e-01 -4.3708e-01 -1.1227e-01 -5.9530e-02  3.5846e-01 -3.1637e-01 -1.9723e-01 -3.2439e-02 -1.2153e-01 -1.4256e-01 -1.2367e-01  1.2763e-01  3.8755e-01  9.1591e-01  5.1049e-01 -5.1100e-01  5.8125e-02 -6.5719e-01 -2.4770e-01 -1.2135e-01  1.0614e-02 -3.6433e-02  3.3479e-01  5.6680e-01  9.1465e-01  1.2504e+00 -5.5036e-01 -4.3315e-01  2.5577e-01  6.0284e-01  9.7805e-01 -2.2077e-01 -2.6051e-01  3.8334e-01 -8.4343e-02  2.6623e-01 -1.8696e-01  7.7375e-02  2.3517e-01 -6.0035e-02 -2.6832e-01  6.6160e-02  4.4207e-01 -6.2668e-02 -4.2341e-01 -2.6025e-01 -2.9124e-01 -5.7283e-02 -2.5462e-01  4.7860e-02  4.2491e-01 -1.7260e-01 -1.0077e-01 -2.2401e-01 -2.4003e-01 -2.2702e-01 -6.9347e-02 -1.6659e-01 -4.2455e-02  5.0522e-02  4.5972e-02 -5.5513e-01  4.2267e-01 -1.1975e-01 -1.2835e-01 -3.0393e-01 -3.7869e-01 -1.4169e-01 -2.8479e-01 -4.8381e-01 -1.7203e-01  8.7151e-02 -1.5781e-01 -3.3098e-01 -3.7888e-01 -5.2247e-01 -9.3161e-02  3.7888e-01  7.9230e-01 -3.1011e-01 -5.9860e-02 -8.8687e-02  1.4813e-01  3.2875e-02  1.0920e-01  8.5037e-01  8.5483e-01 -5.5086e-01  3.2920e-01 -2.2856e-01 -2.6023e-02  2.1676e-01  5.7652e-01 -6.0117e-01 -4.7426e-01 -4.4339e-01  1.7809e-01  6.7870e-01  8.8357e-01  4.2880e-03  3.0131e-01  5.3191e-01  3.4416e-04 
 1.3128e-01  3.9213e-02 -7.1947e-02  1.4020e-01 -9.5157e-02 -1.9036e-01  2.7367e-01  2.3348e-01 -2.5340e-01 -7.3830e-02 -2.4163e-01 -3.4282e-02  1.1096e-01  2.4927e-02  3.5782e-01  3.1621e-01 -1.7695e-01  3.8791e-01  7.4432e-02 -7.1683e-02 -1.0526e-01 -1.9143e-01 -1.8253e-01 -6.1649e-01 -6.5908e-02 -4.9356e-01 -1.3343e-02  1.6512e-02 -1.3483e-01 -3.7869e-01 -8.3117e-02 -3.0797e-02  4.2695e-01 -4.7022e-01 -2.0199e-01 -5.5698e-02 -1.0884e-01 -9.8819e-02 -5.0585e-02  1.6684e-01  3.3459e-01  8.5038e-01  3.8822e-01 -5.4882e-01 -2.3614e-03 -6.3135e-01 -2.6812e-01 -9.6821e-02  2.5427e-02 -2.8166e-03  3.5892e-01  5.7048e-01  8.7503e-01  1.1279e+00 -5.4223e-01 -4.6430e-01  2.6522e-01  6.1495e-01  9.5202e-01 -2.6324e-01 -2.9893e-01  3.5373e-01 -1.2008e-01  9.3320e-02 -1.8373e-01  1.0348e-01  3.6650e-01  9.0982e-02 -2.6521e-01 -9.2790e-02  1.7591e-01  7.9132e-02 -3.5710e-01 -2.6968e-01 -3.0018e-01 -1.2362e-01 -3.8640e-01  6.5325e-03  2.9048e-01  6.9916e-02  9.9188e-02 -8.1834e-02 -1.7569e-01 -2.2802e-01 -1.0373e-01 -1.7534e-01 -2.8736e-01 -1.7754e-02  8.0164e-02 -8.2208e-01  2.7525e-01  5.8303e-02 -2.9955e-02 -1.8849e-01 -3.0647e-01 -8.8569e-02 -2.6616e-01 -4.3096e-01 -2.3667e-01  1.5067e-01 -1.3598e-01 -2.7149e-01 -3.3654e-01 -4.4194e-01 -3.0801e-02  3.5732e-01  7.3397e-01 -3.1410e-01 -4.0416e-02 -8.3897e-02  1.7461e-01  1.0185e-01  1.6086e-01  7.7490e-01  7.4833e-01 -6.5818e-01  2.4334e-01 -1.9186e-01  2.5537e-02  2.4529e-01  5.9706e-01 -5.8999e-01 -4.9018e-01 -4.3519e-01  2.2297e-01  6.7561e-01  8.7295e-01 -1.2312e-01 -6.4727e-02 -1.0777e+00  3.4416e-04 
 1.0174e-01  3.1414e-02 -2.6477e-01  2.2747e-01 -1.4730e-01 -2.9242e-01  5.7399e-01  5.5324e-01 -1.9013e-01 -3.7725e-02 -2.4307e-01 -5.0679e-02  2.8684e-02  6.1426e-02 -2.5997e-01  2.5061e-01 -2.5740e-01  5.2540e-01  1.5812e-01  3.1402e-02 -8.5540e-02 -1.5794e-01 -1.4030e-01 -3.9592e-01 -9.8310e-02 -3.7928e-01  1.3320e-01  8.7046e-02 -6.4784e-02 -2.9738e-01 -3.7090e-02  1.1250e-02  5.2559e-01 -5.3091e-01 -1.6619e-01 -4.6299e-02 -8.5114e-02 -3.8145e-02  3.5709e-02  1.9137e-01  2.5709e-01  7.4403e-01  2.4226e-01 -5.8392e-01 -1.0284e-01 -5.6674e-01 -2.4958e-01 -6.5239e-02  4.3674e-02  2.3544e-02  3.6373e-01  5.2536e-01  7.6864e-01  9.1550e-01 -5.2729e-01 -4.6957e-01  2.5892e-01  5.8112e-01  8.3448e-01 -3.0280e-01 -3.2452e-01  2.7452e-01 -1.6018e-01 -1.0379e-01 -1.8456e-01  1.0417e-01  4.9090e-01  2.0263e-01 -2.4556e-01 -2.3039e-01 -1.2631e-01  1.9134e-01 -2.6101e-01 -2.6083e-01 -2.8363e-01 -1.6438e-01 -5.1428e-01 -2.2845e-02  1.7176e-01  3.2474e-01  2.6805e-01  4.9547e-02 -8.3030e-02 -2.0916e-01 -1.0764e-01 -1.2798e-01 -5.4451e-01 -6.5745e-02  1.0551e-01 -1.0972e+00  1.4730e-01  2.1981e-01  4.7406e-02 -6.8850e-02 -2.0579e-01 -2.1457e-02 -2.2965e-01 -3.3393e-01 -2.5610e-01  1.9126e-01 -1.0588e-01 -1.9175e-01 -2.7699e-01 -3.2245e-01  2.5469e-02  3.2987e-01  6.5165e-01 -2.9581e-01 -5.4603e-03 -6.7338e-02  1.9123e-01  1.6231e-01  1.9416e-01  6.5358e-01  5.8386e-01 -7.8292e-01  1.0334e-01 -1.4393e-01  6.8823e-02  2.4812e-01  5.8289e-01 -5.7388e-01 -4.8646e-01 -4.1632e-01  2.3573e-01  6.0128e-01  7.8216e-01 -2.5251e-01  2.5435e-01  1.2992e+00  3.4416e-04 
 6.3321e-02  8.3295e-03 -4.2468e-01  2.3439e-01 -1.4261e-01 -3.5776e-01  7.7848e-01  7.6289e-01 -1.3471e-01  2.9526e-03 -2.2140e-01 -3.8059e-02  2.1112e-04  1.6008e-01 -8.1691e-01  1.1876e-01 -3.1881e-01  5.7538e-01  2.2850e-01  1.3704e-01 -2.9704e-02 -9.6404e-02 -4.2222e-02  2.6848e-02 -1.5531e-01 -2.1710e-01  2.5742e-01  1.2968e-01  1.7971e-02 -1.9303e-01  4.0617e-02  8.9062e-02  6.5447e-01 -5.2585e-01 -1.0730e-01 -8.3945e-03 -4.6393e-02  3.8246e-02  1.3710e-01  2.1602e-01  1.8194e-01  6.1387e-01  8.8271e-02 -5.9837e-01 -2.5183e-01 -4.7530e-01 -2.0152e-01 -2.3530e-02  6.2659e-02  5.3874e-02  3.6455e-01  4.4322e-01  6.0350e-01  6.3771e-01 -5.1871e-01 -4.5705e-01  2.4549e-01  5.0388e-01  6.3739e-01 -3.3717e-01 -3.3362e-01  1.5855e-01 -2.1497e-01 -3.0126e-01 -1.9681e-01  8.3344e-02  5.3523e-01  2.3360e-01 -2.0589e-01 -2.9419e-01 -3.2306e-01  2.1986e-01 -1.5391e-01 -2.3005e-01 -2.4341e-01 -1.5484e-01 -5.8109e-01 -3.3298e-02 -6.2269e-02  4.6311e-01  3.5453e-01  1.4072e-01  2.3129e-02 -1.6306e-01 -5.7193e-02  3.7688e-02 -7.3116e-01 -8.4841e-02  6.9941e-02 -1.3702e+00 -8.9424e-02  2.9846e-01  9.6596e-02  4.1863e-02 -8.6182e-02  6.7405e-02 -1.4556e-01 -1.5552e-01 -1.7243e-01  1.9774e-01 -6.7857e-02 -9.5742e-02 -1.9429e-01 -1.6057e-01  8.5547e-02  3.1216e-01  5.4627e-01 -2.6762e-01  3.4455e-02 -4.1383e-02  2.0702e-01  2.1912e-01  2.1828e-01  5.0829e-01  3.8474e-01 -9.0335e-01 -8.0783e-02 -9.4531e-02  9.8768e-02  2.2936e-01  5.3751e-01 -5.6192e-01 -4.6828e-01 -3.9139e-01  2.2521e-01  4.6959e-01  6.1214e-01 -3.7232e-01 -5.5641e-01  8.8603e-01  3.4416e-04 
 5.1274e-02 -5.0950e-04 -5.1401e-01  1.9875e-01 -9.8853e-02 -3.9223e-01  8.5012e-01  8.2917e-01 -7.9253e-02  5.3197e-02 -1.7586e-01 -6.7229e-03 -4.4668e-03  2.1569e-01 -1.2000e+00  4.0151e-03 -3.5914e-01  5.4524e-01  2.7511e-01  2.2547e-01  5.3386e-02 -3.7474e-02  5.9810e-02  4.0098e-01 -2.1402e-01 -3.9309e-02  3.3658e-01  1.3786e-01  1.0788e-01 -6.6312e-02  1.4277e-01  1.7175e-01  7.5281e-01 -4.9409e-01 -3.0053e-02  6.0612e-02  2.4729e-03  1.2801e-01  2.5438e-01  2.3428e-01  1.1470e-01  4.7191e-01 -5.5756e-02 -6.0815e-01 -4.3423e-01 -3.8032e-01 -1.2073e-01  1.4424e-02  8.8933e-02  9.1733e-02  3.6670e-01  3.4298e-01  4.0735e-01  3.4201e-01 -5.1190e-01 -4.2446e-01  2.3895e-01  4.1695e-01  4.1097e-01 -3.5620e-01 -3.0719e-01  6.4913e-02 -2.7186e-01 -3.9833e-01 -1.9115e-01  5.2797e-02  5.1764e-01  2.0624e-01 -1.5521e-01 -3.2932e-01 -4.7342e-01  1.9791e-01 -5.6633e-02 -1.8464e-01 -1.8663e-01 -1.1867e-01 -6.2014e-01 -3.1523e-02 -2.2957e-01  4.6995e-01  3.5002e-01  1.9034e-01  1.3298e-01 -1.0534e-01  1.4963e-02  1.9044e-01 -8.9045e-01 -7.6844e-02 -7.8666e-04 -1.5512e+00 -2.5597e-01  2.9866e-01  1.0552e-01  1.2973e-01  4.1577e-02  1.6561e-01 -4.0306e-02  1.6700e-02 -8.5792e-02  1.8617e-01 -2.4429e-02  7.2149e-03 -9.3144e-02  1.8371e-02  1.3433e-01  2.8756e-01  4.0536e-01 -2.2802e-01  8.2252e-02  3.2681e-04  2.2787e-01  2.7080e-01  2.3048e-01  3.5714e-01  1.6801e-01 -1.0190e+00 -2.7678e-01 -4.7319e-02  1.2082e-01  2.0128e-01  4.7564e-01 -5.5543e-01 -4.4084e-01 -3.5723e-01  1.9883e-01  3.1750e-01  4.1101e-01 -4.3901e-01  5.2028e-01 -1.7843e+00  3.4416e-04 
