        Fp1         Fpz         Fp2         AF3         AF4         F11          F7          F5          F3          F1          Fz          F2          F4          F6          F8         F12        FT11         FC5         FC3         FC1         FCz         FC2         FC4         FC6        FT12          T7          C5          C3          C1          Cz          C2          C4          C6          T8         TP7         CP5         CP3         CP1         CPz         CP2         CP4         CP6         TP8          M1          M2          P7          P5          P3          P1          Pz          P2          P4          P6          P8         PO7         PO3         POz         PO4         PO8          O1          Oz          O2         Cb1         Cb2        AFp1        AFp2         AF7         AF5         AFz         AF6         AF8       AFF5h       AFF3h       AFF1h       AFF2h       AFF4h       AFF6h          F9         F10       FFT7h       FFC5h       FFC3h       FFC1h       FFC2h       FFC4h       FFC6h       FFT8h         FT9         FT7         FT8        FT10       FTT7h       FCC5h       FCC3h       FCC1h       FCC2h       FCC4h       FCC6h       FTT8h       TTP7h       CCP5h       CCP3h       CCP1h       CCP2h       CCP4h       CCP6h       TTP8h       TPP7h       CPP5h       CPP3h       CPP1h       CPP2h       CPP4h       CPP6h       TPP8h          P9         P10       PPO3h       PPO1h       PPO2h       PPO4h         PO9         PO5         PO1         PO2         PO6        PO10         Cbz        VEOG        HEOG     Trigger 
-2.6544e-02  9.0338e-02 -3.2675e-01 -1.5333e-01 -3.8390e-03 -1.1521e+00 -6.4514e-01 -5.3526e-02 -9.3519e-02 -1.7594e-01  8.2374e-02  8.7717e-02  9.3903e-02 -5.3778e-01 -2.9293e-01 -5.6319e-01 -9.9826e-01 -6.3664e-01  5.7546e-03  1.8110e-02  4.0149e-02  8.9675e-02  4.5097e-02 -3.3927e-01 -1.0689e+00 -7.9662e-01 -3.5379e-01 -4.1884e-02  3.2318e-03  9.6744e-02  6.6955e-02 -9.5367e-03 -1.1011e-01 -4.7151e-02 -3.2349e-01  6.9822e-02  4.7582e-01  4.2000e-01  1.2978e-01  4.3878e-01  2.8329e-01  2.1440e-01  6.4496e-02 -7.6802e-01 -2.5780e-01 -2.0079e-01 -6.8362e-04  4.5426e-01  6.0238e-01  7.0519e-01  7.2259e-01  5.2287e-01  4.4104e-01  3.6128e-01  1.9047e-01  2.0716e-01  7.2758e-01  7.2502e-01  4.2984e-01  3.2722e-01  3.2638e-01  5.5722e-01 -3.9638e-01 -5.3389e-02 -1.7120e-01 -2.1486e-01 -1.6878e-01 -8.9917e-02  3.3118e-02 -2.8168e-01 -9.0080e-01 -1.3016e-01 -1.0780e-01  4.5941e-02  5.9105e-02  5.5510e-03 -1.8236e-01 -1.0750e+00 -2.4888e-01 -6.0730e-01 -7.7861e-02 -1.1372e-01 -2.6181e-02  5.3597e-02  6.7700e-02 -8.4503e-02 -4.0103e-01 -9.4810e-01 -8.5372e-01 -1.7838e-01 -5.1484e-01 -8.3400e-01 -4.0164e-01  1.5348e-02  9.6578e-02  5.7470e-02  9.2844e-02 -7.5491e-02 -1.9159e-01 -2.6284e-01  7.1161e-03  9.5408e-02  1.0225e-01  5.4982e-01  2.9137e-01  1.5695e-01  1.1637e-01 -1.5370e-01  2.3310e-01  4.8308e-01  7.6082e-01  6.7908e-01  4.0989e-01  3.7920e-01  3.1832e-01 -6.0461e-01  1.6269e-01  5.6753e-01  7.2975e-01  6.8697e-01  7.0353e-01  1.9727e-01  1.9602e-01  7.2662e-01  6.7823e-01  5.4376e-01  4.8821e-01 -5.8020e-01  1.3820e+00  5.7228e-01  0.0000e+00 
-5.5939e-02  5.6060e-02 -3.6989e-01 -1.3980e-01 -9.8482e-02 -1.0523e+00 -5.7927e-01 -3.5713e-02 -8.0452e-02 -1.9473e-01  1.6550e-02  3.0053e-02  1.8633e-02 -6.0354e-01 -2.3196e-01 -5.1842e-01 -8.4275e-01 -5.6790e-01  2.1547e-02  2.2165e-02 -1.0380e-02  2.9594e-02 -1.5514e-01 -3.5041e-01 -9.4423e-01 -8.5937e-01 -3.7116e-01 -5.1892e-02  1.5644e-02  1.1315e-01  1.0360e-02 -5.3818e-02 -8.7561e-02  7.3632e-02 -2.9249e-01  1.4110e-01  5.1850e-01  4.4937e-01  1.4224e-01  4.2882e-01  2.5465e-01  1.9411e-01  2.3658e-02 -5.6809e-01 -3.4782e-01 -2.5213e-02  9.1962e-02  5.4540e-01  6.6381e-01  7.2491e-01  7.4791e-01  4.7948e-01  3.9279e-01  2.5863e-01  2.8441e-01  3.1149e-01  7.5493e-01  6.7768e-01  2.3985e-01  3.6138e-01  3.0827e-01  4.0224e-01 -3.1554e-01 -4.1608e-01 -1.5349e-01 -2.3875e-01 -1.3091e-01 -7.2328e-02 -7.3391e-03 -4.0898e-01 -8.8794e-01 -9.7515e-02 -8.9759e-02 -1.2830e-02 -1.5969e-03 -9.5778e-02 -2.7310e-01 -9.8576e-01 -2.0102e-01 -5.2782e-01 -4.8416e-02 -9.2309e-02 -2.1370e-02 -1.3019e-03  4.8210e-03 -3.0631e-01 -2.8386e-01 -8.6893e-01 -7.9733e-01 -1.0473e-01 -4.4211e-01 -7.6547e-01 -4.8383e-01  3.7772e-02  1.0554e-01  8.2039e-03  4.4239e-02 -1.2464e-01 -1.2676e-01 -2.9085e-01 -1.5858e-02  1.3973e-01  1.1693e-01  5.5612e-01  2.5537e-01  1.4774e-01  1.5336e-01 -4.2573e-02  2.8261e-01  5.3509e-01  8.0622e-01  7.1179e-01  3.8551e-01  3.0445e-01  2.6236e-01 -4.0080e-01  6.1570e-03  6.3016e-01  7.7101e-01  7.2390e-01  7.3978e-01  3.0236e-01  3.0434e-01  7.5076e-01  6.9759e-01  4.2292e-01  1.7820e-01 -5.6839e-01  4.7962e-01  1.2503e-02  0.0000e+00 
-1.1745e-01  1.9341e-02 -3.6811e-01 -1.1126e-01 -1.7269e-01 -9.2399e-01 -5.0281e-01 -5.4665e-03 -5.2841e-02 -2.1138e-01 -4.2854e-02 -2.4273e-02 -5.2116e-02 -6.5221e-01 -1.0265e-01 -4.1820e-01 -7.2395e-01 -4.8631e-01  4.8984e-02  4.5198e-02 -5.4027e-02 -2.8964e-02 -3.6588e-01 -3.4493e-01 -7.9584e-01 -8.8400e-01 -3.7826e-01 -5.9606e-02  3.8696e-02  1.3877e-01 -3.4424e-02 -9.8130e-02 -6.1549e-02  1.6314e-01 -2.7363e-01  1.8829e-01  5.3729e-01  4.6673e-01  1.6503e-01  4.2052e-01  2.3316e-01  1.7796e-01 -1.8551e-03 -3.8493e-01 -4.1610e-01  1.2627e-01  1.6899e-01  6.0329e-01  7.0003e-01  7.2558e-01  7.5759e-01  4.3216e-01  3.4839e-01  1.6931e-01  3.5209e-01  3.7952e-01  7.6176e-01  6.0343e-01  2.7187e-02  3.6653e-01  2.7103e-01  2.0307e-01 -2.5256e-01 -8.3653e-01 -1.1373e-01 -2.3240e-01 -8.0449e-02 -4.8013e-02 -4.1179e-02 -4.7227e-01 -7.8714e-01 -5.6326e-02 -6.4962e-02 -5.9506e-02 -5.7950e-02 -1.7892e-01 -3.3733e-01 -8.8670e-01 -1.1207e-01 -4.4418e-01 -1.1564e-02 -5.7930e-02 -1.2304e-02 -4.8180e-02 -5.2920e-02 -5.3620e-01 -1.3876e-01 -7.9105e-01 -7.3078e-01 -4.5494e-02 -3.4291e-01 -6.8795e-01 -5.4424e-01  6.8317e-02  1.2738e-01 -3.3948e-02 -5.8109e-04 -1.7142e-01 -7.5417e-02 -3.2388e-01 -3.7781e-02  1.8457e-01  1.3886e-01  5.6327e-01  2.2999e-01  1.3626e-01  1.7786e-01  4.9541e-02  3.1159e-01  5.6143e-01  8.3759e-01  7.2955e-01  3.6249e-01  2.3458e-01  2.1617e-01 -2.1714e-01 -1.6134e-01  6.5184e-01  7.8913e-01  7.3312e-01  7.5330e-01  3.7438e-01  3.8084e-01  7.5395e-01  6.9577e-01  2.9256e-01 -1.8673e-01 -5.7339e-01  1.2488e+00  2.5763e-01  0.0000e+00 
-1.9109e-01 -2.4501e-02 -3.4354e-01 -7.9539e-02 -2.2031e-01 -8.2204e-01 -4.1255e-01  2.5997e-02 -2.0239e-02 -2.3243e-01 -8.6168e-02 -6.6806e-02 -9.9169e-02 -6.8795e-01  1.0224e-02 -3.2385e-01 -6.5046e-01 -3.9674e-01  7.5270e-02  7.3213e-02 -7.8797e-02 -7.5505e-02 -5.1218e-01 -2.9706e-01 -6.5388e-01 -8.4788e-01 -3.7468e-01 -6.3139e-02  6.9505e-02  1.6440e-01 -5.7107e-02 -1.2958e-01 -3.3691e-02  2.0889e-01 -2.6247e-01  1.9114e-01  5.3386e-01  4.7865e-01  1.8392e-01  4.1387e-01  2.2039e-01  1.6589e-01 -8.3211e-03 -2.3178e-01 -4.4078e-01  2.2605e-01  2.1602e-01  6.2494e-01  7.1221e-01  7.1101e-01  7.5190e-01  3.8569e-01  3.0724e-01  1.0935e-01  3.8939e-01  4.1398e-01  7.4567e-01  5.2929e-01 -1.5325e-01  3.5630e-01  2.3789e-01  2.0126e-02 -2.0260e-01 -1.1824e+00 -7.8392e-02 -2.1094e-01 -3.6845e-02 -2.7861e-02 -6.1348e-02 -5.1128e-01 -6.2743e-01 -2.3901e-02 -4.8121e-02 -8.9337e-02 -1.0036e-01 -2.3313e-01 -3.7968e-01 -7.9869e-01 -3.9774e-02 -3.5486e-01  1.8045e-02 -2.6222e-02 -7.9888e-03 -7.5738e-02 -9.0235e-02 -6.7643e-01 -1.9435e-02 -7.3224e-01 -6.5632e-01 -1.8886e-02 -2.5911e-01 -6.0441e-01 -5.7558e-01  9.5901e-02  1.4949e-01 -6.4777e-02 -4.0219e-02 -2.0097e-01 -4.9073e-02 -3.5301e-01 -6.0028e-02  2.2374e-01  1.5631e-01  5.6847e-01  2.0944e-01  1.2624e-01  1.8026e-01  1.0475e-01  3.1994e-01  5.6517e-01  8.4450e-01  7.3183e-01  3.3748e-01  1.7032e-01  1.7862e-01 -8.1991e-02 -2.9524e-01  6.3531e-01  7.8359e-01  7.1810e-01  7.4672e-01  4.1215e-01  4.2476e-01  7.3540e-01  6.8050e-01  1.8814e-01 -5.1851e-01 -5.6757e-01  1.1075e+00  9.5009e-02  0.0000e+00 
-2.6523e-01 -6.9857e-02 -3.1151e-01 -3.9416e-02 -2.3482e-01 -7.3146e-01 -3.3709e-01  6.5108e-02  2.3550e-02 -2.3519e-01 -1.0203e-01 -8.4551e-02 -1.1765e-01 -7.0597e-01  1.0488e-01 -2.4204e-01 -6.4565e-01 -3.2112e-01  1.0982e-01  1.1719e-01 -8.1554e-02 -9.8640e-02 -5.8378e-01 -2.3779e-01 -5.5071e-01 -7.7577e-01 -3.5405e-01 -4.0027e-02  1.0823e-01  1.9686e-01 -5.3058e-02 -1.5064e-01 -1.5226e-02  2.0750e-01 -2.5733e-01  1.6645e-01  5.1166e-01  4.8153e-01  2.1202e-01  3.9782e-01  2.0462e-01  1.4847e-01 -1.4254e-03 -1.4852e-01 -4.3035e-01  2.5613e-01  2.2877e-01  6.0042e-01  6.9170e-01  6.8325e-01  7.3144e-01  3.4058e-01  2.7254e-01  8.2814e-02  3.8134e-01  3.9481e-01  7.1237e-01  4.6054e-01 -2.7187e-01  3.1938e-01  2.1188e-01 -1.1522e-01 -1.9337e-01 -1.3870e+00 -3.4635e-02 -1.9781e-01  1.8171e-03 -6.0241e-03 -6.4700e-02 -4.9197e-01 -4.8635e-01  6.3517e-03 -2.9114e-02 -9.1777e-02 -1.1824e-01 -2.5489e-01 -3.8760e-01 -7.1967e-01  1.1079e-02 -2.8826e-01  5.1616e-02  1.3515e-02  7.7903e-03 -8.1636e-02 -1.0251e-01 -7.3753e-01  4.8548e-02 -6.8530e-01 -5.9395e-01 -2.4877e-02 -2.0164e-01 -5.3967e-01 -5.3762e-01  1.2692e-01  1.8119e-01 -7.4254e-02 -6.0875e-02 -2.1407e-01 -5.3065e-02 -3.6629e-01 -6.2998e-02  2.5863e-01  1.7878e-01  5.6645e-01  1.9393e-01  1.0526e-01  1.5255e-01  1.2106e-01  3.0589e-01  5.4386e-01  8.2453e-01  7.0534e-01  3.0140e-01  1.1737e-01  1.5455e-01 -1.8979e-02 -3.8409e-01  5.7607e-01  7.5260e-01  6.8107e-01  7.1712e-01  3.9516e-01  4.1616e-01  6.9932e-01  6.4943e-01  1.3293e-01 -7.5712e-01 -5.6524e-01  4.4845e-01 -1.2818e-01  0.0000e+00 
-3.1336e-01 -1.1769e-01 -2.9415e-01 -3.7316e-03 -2.2371e-01 -6.8684e-01 -2.6422e-01  1.0016e-01  6.6312e-02 -2.2351e-01 -9.2588e-02 -7.8325e-02 -1.0197e-01 -7.1650e-01  1.0434e-01 -2.2707e-01 -6.7856e-01 -2.5433e-01  1.3865e-01  1.5817e-01 -6.0591e-02 -9.7300e-02 -5.4386e-01 -1.5565e-01 -5.0240e-01 -6.6999e-01 -3.1811e-01  5.4953e-03  1.4888e-01  2.2445e-01 -2.5089e-02 -1.5572e-01 -6.4946e-03  1.6914e-01 -2.5096e-01  1.1100e-01  4.7818e-01  4.7991e-01  2.3291e-01  3.6908e-01  1.8207e-01  1.2466e-01  1.5197e-02 -1.1365e-01 -3.8278e-01  2.2366e-01  2.0838e-01  5.4096e-01  6.4657e-01  6.4663e-01  6.9667e-01  2.9441e-01  2.3656e-01  8.7626e-02  3.4243e-01  3.4616e-01  6.6196e-01  4.1681e-01 -3.0202e-01  2.7900e-01  2.1124e-01 -1.6065e-01 -2.0194e-01 -1.3670e+00 -6.9879e-03 -2.0478e-01  2.1466e-02  9.0446e-03 -5.2636e-02 -4.5691e-01 -3.9710e-01  2.2162e-02 -1.9304e-02 -7.3518e-02 -1.1211e-01 -2.4748e-01 -3.7476e-01 -6.5454e-01 -4.9751e-03 -2.2990e-01  7.6804e-02  4.5833e-02  2.5685e-02 -6.5106e-02 -8.6438e-02 -6.6848e-01  3.1531e-02 -6.5063e-01 -5.3756e-01 -6.5700e-02 -2.0004e-01 -4.8681e-01 -4.4453e-01  1.5036e-01  2.0728e-01 -6.7097e-02 -6.8104e-02 -2.0717e-01 -8.5349e-02 -3.6294e-01 -5.2237e-02  2.8506e-01  1.9343e-01  5.5117e-01  1.7212e-01  7.8007e-02  9.7229e-02  9.9885e-02  2.7782e-01  5.0778e-01  7.7146e-01  6.5126e-01  2.4980e-01  6.9431e-02  1.3576e-01 -1.9006e-02 -4.0561e-01  4.9168e-01  7.0025e-01  6.3014e-01  6.7037e-01  3.4457e-01  3.7468e-01  6.4727e-01  6.1097e-01  1.3969e-01 -8.4820e-01 -5.4129e-01  9.7159e-01 -2.8330e-01  0.0000e+00 
-3.2751e-01 -1.5833e-01 -2.9460e-01  3.4184e-02 -1.9078e-01 -6.4742e-01 -2.0741e-01  1.3817e-01  1.1320e-01 -1.7776e-01 -5.9107e-02 -4.6558e-02 -6.2210e-02 -7.1560e-01  3.9984e-02 -2.5976e-01 -7.3591e-01 -2.0193e-01  1.7082e-01  2.0398e-01 -2.3273e-02 -7.1489e-02 -4.3255e-01 -9.2217e-02 -5.1350e-01 -5.6853e-01 -2.6313e-01  8.2669e-02  1.8943e-01  2.5240e-01  1.8873e-02 -1.5625e-01 -1.6505e-02  1.0717e-01 -2.4027e-01  5.5257e-02  4.3889e-01  4.6669e-01  2.5790e-01  3.1600e-01  1.3822e-01  8.5275e-02  3.0115e-02 -1.2942e-01 -3.2333e-01  1.4684e-01  1.6734e-01  4.4930e-01  5.7449e-01  6.0088e-01  6.4680e-01  2.3984e-01  1.9575e-01  1.0820e-01  2.7653e-01  2.6822e-01  6.0015e-01  3.8839e-01 -2.5667e-01  2.3025e-01  2.2859e-01 -1.2265e-01 -2.3542e-01 -1.1465e+00  2.2758e-02 -2.3950e-01  3.2967e-02  2.6428e-02 -2.9884e-02 -3.7118e-01 -4.0926e-01  3.6816e-02 -4.6336e-03 -3.5327e-02 -8.3168e-02 -2.1875e-01 -3.3493e-01 -5.8787e-01 -6.5290e-02 -1.8987e-01  1.0665e-01  8.2510e-02  5.9492e-02 -3.4150e-02 -5.0700e-02 -5.3642e-01 -5.8267e-02 -6.0700e-01 -4.9428e-01 -1.2620e-01 -2.4119e-01 -4.5489e-01 -2.8733e-01  1.7333e-01  2.3551e-01 -4.2499e-02 -5.6605e-02 -1.9437e-01 -1.3842e-01 -3.4196e-01 -1.6498e-02  3.0650e-01  2.0930e-01  5.1610e-01  1.4031e-01  3.3178e-02  1.8580e-02  5.8037e-02  2.4007e-01  4.5861e-01  6.8861e-01  5.5992e-01  1.7470e-01  2.5096e-02  1.1937e-01 -6.5719e-02 -3.7787e-01  3.8866e-01  6.2759e-01  5.6779e-01  6.0482e-01  2.6190e-01  3.0041e-01  5.8322e-01  5.6041e-01  1.9757e-01 -7.9356e-01 -5.1405e-01  9.0662e-01  4.5576e-01  0.0000e+00 
-2.9489e-01 -1.8970e-01 -3.1494e-01  6.4396e-02 -1.4822e-01 -6.2405e-01 -1.3884e-01  1.6832e-01  1.5230e-01 -1.1044e-01 -1.3938e-02 -8.1390e-04 -5.2901e-03 -7.0933e-01 -1.1598e-01 -3.5701e-01 -7.6386e-01 -1.4206e-01  1.9251e-01  2.3462e-01  2.3933e-02 -3.0633e-02 -2.6093e-01 -3.9698e-02 -5.6602e-01 -4.7215e-01 -1.9372e-01  1.7052e-01  2.2274e-01  2.6831e-01  6.7176e-02 -1.5449e-01 -4.2694e-02  3.8896e-02 -2.1818e-01  2.3216e-03  3.9913e-01  4.4276e-01  2.6928e-01  2.3758e-01  7.0138e-02  3.0940e-02  3.7016e-02 -1.4462e-01 -2.5866e-01  6.0010e-02  1.1992e-01  3.4513e-01  4.8787e-01  5.4606e-01  5.8013e-01  1.6889e-01  1.3854e-01  1.2727e-01  2.1186e-01  1.9849e-01  5.2498e-01  3.7695e-01 -1.5337e-01  1.9734e-01  2.6928e-01 -5.4541e-03 -2.5434e-01 -7.4801e-01  3.6792e-02 -2.9064e-01  3.1712e-02  4.0420e-02 -2.9504e-03 -2.7537e-01 -5.0389e-01  4.3998e-02  6.5930e-03  7.8840e-03 -4.2137e-02 -1.7788e-01 -2.8455e-01 -5.1784e-01 -1.8057e-01 -1.3633e-01  1.2938e-01  1.0944e-01  9.5734e-02  4.6207e-03 -2.8834e-03 -3.4007e-01 -2.0948e-01 -5.4812e-01 -4.4412e-01 -1.9778e-01 -3.2534e-01 -4.1970e-01 -1.1206e-01  1.8573e-01  2.5024e-01 -1.2235e-02 -3.9568e-02 -1.8270e-01 -2.0089e-01 -3.1211e-01  2.8638e-02  3.2025e-01  2.1346e-01  4.5652e-01  8.6410e-02 -2.3068e-02 -7.1235e-02  1.0283e-02  2.0357e-01  4.0690e-01  5.7601e-01  4.3787e-01  7.5149e-02 -2.6963e-02  9.1408e-02 -1.1902e-01 -3.0645e-01  2.8927e-01  5.3960e-01  4.9847e-01  5.2587e-01  1.8386e-01  2.2717e-01  5.0647e-01  5.0190e-01  2.8413e-01 -6.1094e-01 -4.6223e-01  6.3193e-01  2.9555e-01  0.0000e+00 
-2.2747e-01 -2.0088e-01 -3.3655e-01  9.6677e-02 -9.8418e-02 -5.6132e-01 -6.2054e-02  1.9826e-01  1.8994e-01 -1.3958e-02  3.6306e-02  5.3076e-02  5.1714e-02 -6.8663e-01 -2.8138e-01 -4.6158e-01 -7.4657e-01 -6.9661e-02  2.1322e-01  2.5893e-01  6.9740e-02  1.8236e-02 -1.0083e-01 -3.4870e-02 -6.3347e-01 -4.0442e-01 -1.0900e-01  2.6298e-01  2.4672e-01  2.7757e-01  1.0889e-01 -1.6614e-01 -9.0675e-02 -2.5372e-02 -1.8356e-01 -2.0186e-02  3.5904e-01  3.9870e-01  2.7770e-01  1.2697e-01 -3.1826e-02 -4.4429e-02  2.5600e-02 -1.4800e-01 -2.1255e-01 -8.1906e-03  8.4003e-02  2.3385e-01  3.8599e-01  4.7721e-01  4.9403e-01  7.3429e-02  6.2110e-02  1.2318e-01  1.5689e-01  1.3991e-01  4.3913e-01  3.5740e-01 -3.8470e-02  1.7024e-01  3.1394e-01  1.4234e-01 -2.5898e-01 -2.8731e-01  5.9155e-02 -3.4271e-01  3.5518e-02  6.1401e-02  2.2477e-02 -1.3363e-01 -6.6882e-01  6.0224e-02  2.9520e-02  5.2275e-02  3.9109e-03 -1.3204e-01 -2.1674e-01 -4.3016e-01 -2.9602e-01 -6.9463e-02  1.5717e-01  1.3952e-01  1.4347e-01  4.0709e-02  4.2874e-02 -1.7513e-01 -3.7028e-01 -4.5514e-01 -3.8371e-01 -2.6083e-01 -4.1297e-01 -3.7685e-01  6.7487e-02  1.9554e-01  2.5990e-01  2.1412e-02 -1.6277e-02 -1.9005e-01 -2.6101e-01 -2.7699e-01  8.5584e-02  3.3027e-01  2.1503e-01  3.6974e-01  9.8733e-03 -9.9864e-02 -1.6295e-01 -2.2171e-02  1.7137e-01  3.5123e-01  4.4263e-01  2.8199e-01 -5.1208e-02 -8.9636e-02  4.7367e-02 -1.4924e-01 -2.2816e-01  1.9756e-01  4.3664e-01  4.1890e-01  4.3044e-01  1.1668e-01  1.5962e-01  4.1806e-01  4.2639e-01  3.6275e-01 -3.6488e-01 -4.0697e-01  6.4295e-01  2.6286e-02  0.0000e+00 
-1.3244e-01 -1.9040e-01 -3.4441e-01  1.2335e-01 -4.7386e-02 -4.6905e-01  5.0569e-02  2.1752e-01  2.1580e-01  8.7277e-02  7.9835e-02  1.0128e-01  1.0195e-01 -6.4667e-01 -4.4693e-01 -5.6285e-01 -6.4841e-01  3.6901e-02  2.1983e-01  2.5974e-01  1.0882e-01  6.3716e-02  2.9735e-02 -5.7437e-02 -6.7849e-01 -3.4466e-01 -1.6203e-02  3.3014e-01  2.5540e-01  2.6887e-01  1.3572e-01 -1.9260e-01 -1.5413e-01 -7.9034e-02 -1.3310e-01 -2.0300e-02  3.1732e-01  3.3557e-01  2.6570e-01 -1.0402e-02 -1.6238e-01 -1.3583e-01 -5.6481e-03 -9.4349e-02 -1.8157e-01 -3.2297e-02  6.9707e-02  1.3207e-01  2.8010e-01  3.9103e-01  3.8643e-01 -4.9540e-02 -3.9546e-02  8.3602e-02  1.3392e-01  1.2130e-01  3.3799e-01  3.2325e-01  5.6576e-02  1.6309e-01  3.5968e-01  2.9021e-01 -2.1553e-01  1.6084e-01  7.5246e-02 -3.6845e-01  4.2210e-02  8.3190e-02  4.3179e-02  1.2180e-02 -8.3088e-01  7.8755e-02  5.4605e-02  8.5591e-02  4.4187e-02 -8.4097e-02 -1.4499e-01 -3.3046e-01 -4.0210e-01  4.0652e-02  1.7648e-01  1.5936e-01  1.8540e-01  7.0379e-02  8.0379e-02 -4.0100e-02 -5.0633e-01 -3.3223e-01 -2.8982e-01 -3.0910e-01 -4.8813e-01 -2.9725e-01  1.9876e-01  1.9346e-01  2.5065e-01  4.8162e-02 -1.9436e-04 -2.1875e-01 -3.0861e-01 -2.4364e-01  1.3358e-01  3.3337e-01  2.0141e-01  2.5684e-01 -9.4612e-02 -1.8806e-01 -2.4488e-01 -3.0121e-02  1.4996e-01  2.9701e-01  2.9246e-01  1.0574e-01 -1.9836e-01 -1.7183e-01 -2.3209e-02 -1.2414e-01 -1.5425e-01  1.2715e-01  3.2228e-01  3.2803e-01  3.2265e-01  8.9594e-02  1.2548e-01  3.1506e-01  3.3543e-01  4.0211e-01 -1.1066e-01 -3.2907e-01  8.3166e-01 -2.8585e-01  0.0000e+00 
